expected_final_url,origin_url
https://archive.mozilla.org/pub/firefox/candidates/61.0-candidates/build3/snap/firefox-61.0.snap.checksums,https://queue.taskcluster.net/v1/task/CCgxiK98RGC74Q7H28C4zw/artifacts/public/build/target.snap.checksums
https://archive.mozilla.org/pub/firefox/candidates/61.0.1-candidates/build1/snap/firefox-61.0.1.snap,https://queue.taskcluster.net/v1/task/NEEUCrScS_OtMPnzE9nvHg/artifacts/public/build/target.snap
https://archive.mozilla.org/pub/firefox/candidates/61.0.1-candidates/build1/snap/firefox-61.0.1.snap.checksums,https://queue.taskcluster.net/v1/task/NEEUCrScS_OtMPnzE9nvHg/artifacts/public/build/target.snap.checksums
https://archive.mozilla.org/pub/firefox/candidates/61.0.2-candidates/build1/snap/firefox-61.0.2.snap,https://queue.taskcluster.net/v1/task/IFgCN-5SS-CI_XhlhgNEHA/artifacts/public/build/target.snap
https://archive.mozilla.org/pub/firefox/candidates/61.0.2-candidates/build1/snap/firefox-61.0.2.snap.checksums,https://queue.taskcluster.net/v1/task/IFgCN-5SS-CI_XhlhgNEHA/artifacts/public/build/target.snap.checksums
https://archive.mozilla.org/pub/firefox/candidates/61.0b10-candidates/build1/snap/firefox-61.0b10.snap,https://queue.taskcluster.net/v1/task/Zwx5-ksXQOySNw7g2ofVNA/artifacts/public/build/target.snap
https://archive.mozilla.org/pub/firefox/candidates/61.0b10-candidates/build1/snap/firefox-61.0b10.snap.checksums,https://queue.taskcluster.net/v1/task/Zwx5-ksXQOySNw7g2ofVNA/artifacts/public/build/target.snap.checksums
https://archive.mozilla.org/pub/firefox/candidates/61.0b11-candidates/build1/snap/firefox-61.0b11.snap,https://queue.taskcluster.net/v1/task/YQdLTt9GS1eCFYmyb2vblw/artifacts/public/build/target.snap
https://archive.mozilla.org/pub/firefox/candidates/61.0b11-candidates/build1/snap/firefox-61.0b11.snap.checksums,https://queue.taskcluster.net/v1/task/YQdLTt9GS1eCFYmyb2vblw/artifacts/public/build/target.snap.checksums
https://archive.mozilla.org/pub/firefox/candidates/61.0b12-candidates/build1/snap/firefox-61.0b12.snap,https://queue.taskcluster.net/v1/task/IdUOg8DrTdCulAD4QuBaYQ/artifacts/public/build/target.snap
